name,qty_ordered,order_id,store_id
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,105,2.0
POP - Del Tambo Bars,1.0,105,2.0
POP - Davao White Chocolate Pistachio Bars,1.0,105,2.0
Davao Natural Cocoa Powder 130g Tin,6.0,105,2.0
Wholesale Tanzania Roasted Cocoa Nibs,6.0,105,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,105,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,105,2.0
Delivery Fee,1.0,105,2.0
CASE Davao Natural Cocoa Powder,1.0,107,2.0
POP - Tanzania Bars,1.0,107,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,107,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,2.0,107,2.0
POP - Davao Bars,1.0,108,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,108,2.0
POP - Davao White Chocolate Bars	,1.0,108,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,108,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,108,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,108,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,109,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,109,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,109,2.0
POP - Davao Bars,1.0,109,2.0
Chocolate Tasting Kit,6.0,111,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,111,2.0
POP - Tanzania Bars,1.0,111,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,113,2.0
POP - Del Tambo Bars,1.0,113,2.0
POP - Tanzania Bars,1.0,113,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,113,2.0
POP - Davao White Chocolate Bars	,1.0,113,2.0
Wholesale Itty Bar Refill,1.0,113,2.0
